time,symbol,side,entry_price,size,position_value,status,exit_time,exit_price,pnl,reason,stop_loss,target,trail_active,trail_stop
2025-08-05 09:25:00,HDFCBANK,SHORT,1972.70,468,923223.60,CLOSED,2025-08-05 10:21:00,1982.56,-4616.12,SL,1982.56,1933.25,False,
2025-08-05 09:46:00,PAYTM,SHORT,1059.00,872,923448.00,CLOSED,2025-08-05 09:50:00,1064.29,-4617.24,SL,1064.30,1037.82,False,
2025-08-05 09:25:00,INDUSINDBK,LONG,844.40,1093,922929.20,CLOSED,2025-08-05 09:28:00,842.33,-2257.32,TRAIL,840.18,861.29,True,842.33
2025-08-05 09:40:00,GODFRYPHLP,LONG,9844.50,93,915538.50,CLOSED,2025-08-05 09:46:00,9795.28,-4577.69,SL,9795.28,10041.39,False,
2025-08-05 09:25:00,KAYNES,SHORT,6410.50,144,923112.00,CLOSED,2025-08-05 09:26:00,6442.55,-4615.56,SL,6442.55,6282.29,False,
2025-08-05 09:25:00,JIOFIN,LONG,337.40,2737,923463.80,CLOSED,2025-08-05 09:48:00,335.71,-4617.32,SL,335.71,344.15,False,
2025-08-05 09:25:00,SARDAEN,LONG,541.65,1705,923513.25,CLOSED,2025-08-05 09:26:00,538.94,-4617.57,SL,538.94,552.48,False,
2025-08-05 09:25:00,M&M,LONG,3192.70,289,922690.30,CLOSED,2025-08-05 09:48:00,3176.74,-4613.45,SL,3176.74,3256.55,False,
2025-08-05 09:30:00,MCX,SHORT,7700.00,119,916300.00,CLOSED,2025-08-05 09:38:00,7738.50,-4581.50,SL,7738.50,7546.00,False,
2025-08-05 09:25:00,RELIANCE,LONG,1403.00,658,923174.00,CLOSED,2025-08-05 10:42:00,1395.98,-4615.87,SL,1395.98,1431.06,False,
