time,symbol,side,entry_price,size,position_value,status,exit_time,exit_price,pnl,reason,stop_loss,target,trail_active,trail_stop
2025-08-01 10:00:00,HINDUNILVR,SHORT,2576.40,388,999643.20,CLOSED,2025-08-01 10:02:00,2589.28,-4998.22,SL,2589.28,2524.87,False,
2025-08-01 09:25:00,SUZLON,LONG,65.25,15325,999956.25,CLOSED,2025-08-01 09:26:00,64.92,-4999.78,SL,64.92,66.56,False,
2025-08-01 09:25:00,SWIGGY,LONG,392.80,2545,999676.00,CLOSED,2025-08-01 09:26:00,390.84,-4998.38,SL,390.84,400.66,False,
2025-08-01 09:26:00,CHAMBLFERT,SHORT,531.60,1881,999939.60,CLOSED,2025-08-01 09:30:00,534.26,-4999.70,SL,534.26,520.97,False,
2025-08-01 09:35:00,CHALET,SHORT,1005.60,994,999566.40,CLOSED,2025-08-01 09:38:00,1010.63,-4997.83,SL,1010.63,985.49,False,
2025-08-01 10:00:00,JSWENERGY,SHORT,512.65,1950,999667.50,CLOSED,2025-08-01 10:01:00,515.21,-4998.34,SL,515.21,502.40,False,
2025-08-01 09:25:00,SUNPHARMA,SHORT,1610.00,621,999810.00,CLOSED,2025-08-01 09:26:00,1618.05,-4999.05,SL,1618.05,1577.80,False,
2025-08-01 09:28:00,M&M,SHORT,3129.40,319,998278.60,CLOSED,2025-08-01 09:51:00,3145.05,-4991.39,SL,3145.05,3066.81,False,
2025-08-01 09:25:00,EICHERMOT,LONG,5632.50,177,996952.50,CLOSED,2025-08-01 09:37:00,5627.48,-889.42,TRAIL,5604.34,5745.15,True,5627.48
2025-08-01 09:41:00,NETWEB,LONG,2187.00,457,999459.00,CLOSED,2025-08-01 09:42:00,2176.06,-4997.29,SL,2176.07,2230.74,False,
2025-08-04 09:25:00,MCX,LONG,7928.00,120,951360.00,CLOSED,2025-08-04 09:44:00,7888.36,-4756.80,SL,7888.36,8086.56,False,
2025-08-04 09:27:00,DELHIVERY,LONG,452.55,2108,953975.40,CLOSED,2025-08-04 09:28:00,450.29,-4769.88,SL,450.29,461.60,False,
2025-08-04 09:25:00,FEDERALBNK,LONG,194.22,4912,954008.64,CLOSED,2025-08-04 09:26:00,193.25,-4770.04,SL,193.25,198.10,False,
2025-08-04 09:25:00,SARDAEN,SHORT,500.00,1908,954000.00,CLOSED,2025-08-04 09:26:00,502.50,-4770.00,SL,502.50,490.00,False,
2025-08-04 09:25:00,JIOFIN,LONG,335.00,2848,954080.00,CLOSED,2025-08-04 09:43:00,333.32,-4770.40,SL,333.32,341.70,False,
2025-08-04 09:25:00,TATAPOWER,SHORT,376.25,2535,953793.75,CLOSED,2025-08-04 09:26:00,378.13,-4768.97,SL,378.13,368.73,False,
2025-08-04 09:28:00,ITC,LONG,419.45,2274,953829.30,CLOSED,2025-08-04 10:32:00,417.35,-4769.15,SL,417.35,427.84,False,
